date,price,total_volume,market_cap,coin_name
2016-03-28 00:00:00.000,1.484360572162032,587488.0798241914,16979446.21146198,monero
2016-03-29 00:00:00.000,1.482644647659936,317960.1984671032,16972937.852025796,monero
2016-03-30 00:00:00.000,1.437873115128514,313978.11289759213,16474454.222554792,monero
2016-03-31 00:00:00.000,1.40223954388019,193039.83911464908,16078994.272552412,monero
2016-04-01 00:00:00.000,1.4501134450783,334445.83427906345,16642282.056752022,monero
2016-04-02 00:00:00.000,1.562620995375224,467691.5317840035,17948120.991748247,monero
2016-04-03 00:00:00.000,1.494077593330668,376639.742767542,17168823.626593817,monero
2016-04-04 00:00:00.000,1.588144809874052,297984.92279674875,18272560.512631703,monero
2016-04-05 00:00:00.000,1.50883616468815,395091.7605384119,17373978.354710568,monero
2016-04-06 00:00:00.000,1.503187958159315,246145.54671691536,17322523.07394993,monero
2016-04-07 00:00:00.000,1.5214602423571295,251168.50217012363,17546040.933691848,monero
2016-04-08 00:00:00.000,1.213140905724496,447241.8140719915,14003017.370637693,monero
2016-04-09 00:00:00.000,1.327692041113195,728484.0540912907,15328559.108426811,monero
2016-04-10 00:00:00.000,1.0888014107238173,1337871.55811085,12587750.69993041,monero
2016-04-11 00:00:00.000,1.009314602802293,286524.13414537255,11677521.66303024,monero
2016-04-12 00:00:00.000,0.9329931831425256,602612.4560281506,10803622.55399437,monero
2016-04-13 00:00:00.000,1.027508521424271,418959.9040816594,11908031.554237282,monero
2016-04-14 00:00:00.000,1.008341396935952,193841.1675490699,11694766.7135153,monero
2016-04-15 00:00:00.000,0.988584806451743,361880.45980798814,11474855.784676475,monero
2016-04-16 00:00:00.000,0.9792020786678084,112190.795455398,11375506.093729213,monero
2016-04-17 00:00:00.000,1.031342191721107,287274.9717808879,11987627.54327112,monero
2016-04-18 00:00:00.000,1.095953876634541,280081.28509074484,12752420.67267062,monero
2016-04-19 00:00:00.000,1.131999558941037,267232.28097063885,13182305.795801776,monero
2016-04-20 00:00:00.000,1.054757949639907,307044.3783379012,12292741.919071171,monero
2016-04-21 00:00:00.000,0.9720977857757066,199740.1689456429,11338757.574311784,monero
2016-04-22 00:00:00.000,0.9824374920427336,140695.99034336087,11468771.917546015,monero
2016-04-23 00:00:00.000,1.0419009737159215,107761.04138953476,12172257.139768971,monero
2016-04-24 00:00:00.000,1.029211406646613,112557.54073402114,12033520.211495472,monero
2016-04-25 00:00:00.000,1.040256366933684,79267.50179041001,12165417.477459136,monero
2016-04-26 00:00:00.000,0.8915623855278555,333468.7008120944,10440464.78637162,monero
2016-04-27 00:00:00.000,0.9477310054428896,306791.52155289694,11106538.314458676,monero
2016-04-28 00:00:00.000,0.9054399658686032,93478.37120872668,10619437.247210491,monero
2016-04-29 00:00:00.000,0.8866911611986845,97694.42458910149,10408084.59301602,monero
2016-04-30 00:00:00.000,0.9197549470125088,121973.31913903444,10805080.610924505,monero
2016-05-01 00:00:00.000,0.9146531810646176,61432.63889331243,10753041.463012606,monero
2016-05-02 00:00:00.000,0.9701084317278268,210439.45399460223,11413866.049674354,monero
2016-05-03 00:00:00.000,0.9168322425811184,98668.3617096568,10795354.927469457,monero
2016-05-04 00:00:00.000,0.9176342767836904,100573.71703457778,10813514.269000776,monero
2016-05-05 00:00:00.000,0.9048146713046888,79350.59395562738,10670682.097182566,monero
2016-05-06 00:00:00.000,0.8873520602127912,71985.22277096902,10472392.362414088,monero
2016-05-07 00:00:00.000,0.8825233941164399,108241.01398229612,10423798.868760971,monero
2016-05-08 00:00:00.000,0.847288610961373,73030.37664967708,10015290.297007814,monero
2016-05-09 00:00:00.000,0.8356722903505264,88781.17868001187,9885273.652937252,monero
2016-05-10 00:00:00.000,0.8260828573495176,128445.01846370962,9779403.472835075,monero
2016-05-11 00:00:00.000,0.8552676607983366,50610.088549865104,10132752.821672505,monero
2016-05-12 00:00:00.000,0.8757047382517551,85442.23170386747,10380719.560261754,monero
2016-05-13 00:00:00.000,0.8482167344324767,64712.82032899693,10054873.134571524,monero
2016-05-14 00:00:00.000,0.8413582764408745,25709.304420109795,9973572.068222616,monero
2016-05-15 00:00:00.000,0.8240052661392642,53045.66872130127,9767867.193509968,monero
2016-05-16 00:00:00.000,0.8193026595821005,100858.50222547918,9712121.874637283,monero
2016-05-17 00:00:00.000,0.81520655125801,116554.78784590856,9663566.065877218,monero
2016-05-18 00:00:00.000,0.8443318696603266,200785.42777544103,10008821.434760306,monero
2016-05-19 00:00:00.000,0.8573589524208698,139828.8758630714,10163246.19337871,monero
2016-05-20 00:00:00.000,0.9464701036898976,311925.88160567224,11219581.543193731,monero
2016-05-21 00:00:00.000,0.9759881711616551,113629.7342129008,11569492.611388857,monero
2016-05-22 00:00:00.000,0.9243042361769336,182068.51223710945,10956824.423800549,monero
2016-05-23 00:00:00.000,0.907636803147142,116813.76726286362,10850970.43261668,monero
2016-05-24 00:00:00.000,0.92666572187477,165042.4537037609,11085550.984275209,monero
2016-05-25 00:00:00.000,0.868656796979162,102896.69421548674,10399984.815265046,monero
2016-05-26 00:00:00.000,0.8593621931812735,88926.25342059466,10296604.521520589,monero
2016-05-27 00:00:00.000,0.8591557205966366,154749.85516563183,10301163.681398554,monero
2016-05-28 00:00:00.000,0.9050344910260256,160063.36034593434,10859337.806302477,monero
2016-05-29 00:00:00.000,0.8804689518035471,185415.3734587943,10565685.532593384,monero
2016-05-30 00:00:00.000,0.8954391953641998,64481.35219960858,10760191.047682753,monero
2016-05-31 00:00:00.000,0.9264745909404274,149736.20327644623,11141602.768104346,monero
2016-06-01 00:00:00.000,0.9207557321428218,101423.78038841378,11080398.420255754,monero
2016-06-02 00:00:00.000,0.9323161273586872,37545.973724268326,11228325.039625036,monero
2016-06-03 00:00:00.000,0.94227538835966,69398.28132939815,11356595.085881015,monero
2016-06-04 00:00:00.000,0.9746938614537716,88374.07412424017,11755294.34136935,monero
2016-06-05 00:00:00.000,1.0017308280771176,82892.36497919704,12090613.61545143,monero
2016-06-06 00:00:00.000,0.9999855799514172,83703.50482771844,12078140.8301109,monero
2016-06-07 00:00:00.000,1.0112716410955866,82240.08604483271,12223195.829970147,monero
2016-06-08 00:00:00.000,1.004060744950689,72217.25113485444,12145482.240913209,monero
2016-06-09 00:00:00.000,1.1089222512265204,470481.6917300657,13423184.481488677,monero
2016-06-10 00:00:00.000,1.1474620823221018,266713.8243242188,13899240.332105923,monero
2016-06-11 00:00:00.000,1.136303519469143,109852.24672141712,13774117.862029826,monero
2016-06-12 00:00:00.000,1.2600580139295785,285880.61611592525,15285855.751214731,monero
2016-06-13 00:00:00.000,1.2823585004379308,266480.09389163565,15567620.606163908,monero
2016-06-14 00:00:00.000,1.3875437122614576,272681.6930628161,16856341.681064658,monero
2016-06-15 00:00:00.000,1.4640217770030175,330760.5418535772,17797790.658234745,monero
2016-06-16 00:00:00.000,1.5819453892589086,342918.3062454906,19245017.421835,monero
2016-06-17 00:00:00.000,1.7872970098747227,676778.0475130449,21758648.5249564,monero
